Time	Monday	Tuesday	Wednesday	Thursday 	Friday	Saturday	Sunday
11:00 AM	2	2	2	2	1	2	2
11:30 AM	2	2	2	2	2	3	3
12:00 PM	2	2	2	2	2	4	4
12:30 PM	2	2	2	2	2	4	4
1:00 PM	2	2	2	2	2	4	4
1:30 PM	2	2	2	2	2	4	4
2:00 PM	2	2	2	2	2	4	4
2:30 PM	2	2	2	2	2	4	4
3:00 PM	2	2	2	2	2	3	4
3:30 PM	2	2	2	2	2	3	3
4:00 PM	2	2	2	2	2	2	2
4:30 PM	2	2	2	2	2	2	2
5:00 PM	3	3	3	3	2	2	3
5:30 PM	3	3	3	3	3	3	3
6:00 PM	3	3	3	3	3	3	3
6:30 PM	3	3	3	3	4	4	3
7:00 PM	2	2	2	2	4	4	2
7:30 PM	2	2	2	2	4	4	2
8:00 PM	2	2	2	2	4	4	2
8:30 PM	2	2	2	2	4	4	2
9:00 PM	2	2	2	2	4	4	2
9:30 PM	2	2	2	2	3	3	2
10:00 PM	0	0	0	0	3	3	0
10:30 PM	0	0	0	0	3	3	0
11:00 PM	0	0	0	0	2	2	0
11:30 PM	0	0	0	0	2	2	0
